repeat,X_hat,X,eval_set,centroid,nn
0,8,11,famous_le_100m,0.5,0.5
0,8,12,famous_le_10m,1.0,1.0
0,8,12,famous_le_100m,1.0,1.0
0,8,13,famous_le_10m,0.5,0.5
0,8,13,famous_le_100m,0.5,0.5
0,8,14,famous_le_10m,0.5,0.5
0,8,14,famous_le_100m,0.5,0.5
0,8,15,famous_le_10m,0.5,0.5
0,8,15,famous_le_100m,0.5,0.5
0,8,16,famous_le_10m,1.0,1.0
0,8,16,famous_le_100m,1.0,1.0
0,8,17,famous_le_10m,0.5,0.5
0,8,17,famous_le_100m,0.5,0.5
0,8,18,famous_le_10m,0.5,0.5
0,8,18,famous_le_100m,0.5,0.5
0,8,19,famous_le_10m,0.5,0.5
0,8,19,famous_le_100m,0.5,0.5
0,8,20,famous_le_10m,1.0,1.0
0,8,20,famous_le_100m,1.0,1.0
0,8,21,famous_le_10m,0.5,0.5
0,8,21,famous_le_100m,0.5,0.5
0,8,22,famous_le_10m,0.5,0.5
0,8,22,famous_le_100m,0.5,0.5
0,8,23,famous_le_10m,0.5,0.5
0,8,23,famous_le_100m,0.5,0.5
0,9,1,famous_le_10m,0.5,0.5
0,9,1,famous_le_100m,0.5,0.5
0,9,2,famous_le_10m,0.5,0.5
0,9,2,famous_le_100m,0.5,0.5
0,9,3,famous_le_10m,0.5,0.5
0,9,3,famous_le_100m,0.5,0.5
0,9,4,famous_le_10m,0.5,0.5
0,9,4,famous_le_100m,0.5,0.5
0,9,5,famous_le_10m,0.5,0.5
0,9,5,famous_le_100m,0.5,0.5
0,9,6,famous_le_10m,0.5,0.6
0,9,6,famous_le_100m,0.5,0.5
0,9,7,famous_le_10m,0.5,0.6
0,9,7,famous_le_100m,0.5,0.5
0,9,8,famous_le_10m,1.0,1.0
0,9,8,famous_le_100m,0.96875,0.96875
0,9,9,famous_le_10m,1.0,1.0
0,9,9,famous_le_100m,0.96875,0.96875
0,9,10,famous_le_10m,1.0,1.0
0,9,10,famous_le_100m,0.96875,0.96875
0,9,11,famous_le_10m,1.0,1.0
0,9,11,famous_le_100m,0.96875,0.96875
0,9,12,famous_le_10m,1.0,1.0
0,9,12,famous_le_100m,0.96875,0.96875
0,9,13,famous_le_10m,1.0,1.0
0,9,13,famous_le_100m,0.96875,0.96875
0,9,14,famous_le_10m,1.0,1.0
0,9,14,famous_le_100m,0.96875,0.96875
0,9,15,famous_le_10m,1.0,1.0
0,9,15,famous_le_100m,0.96875,0.96875
0,9,16,famous_le_10m,1.0,1.0
0,9,16,famous_le_100m,0.96875,0.96875
0,9,17,famous_le_10m,1.0,1.0
0,9,17,famous_le_100m,0.96875,0.96875
0,9,18,famous_le_10m,1.0,1.0
0,9,18,famous_le_100m,0.96875,0.96875
0,9,19,famous_le_10m,1.0,1.0
0,9,19,famous_le_100m,0.96875,0.96875
0,9,20,famous_le_10m,1.0,1.0
0,9,20,famous_le_100m,0.96875,0.96875
0,9,21,famous_le_10m,1.0,1.0
0,9,21,famous_le_100m,0.96875,0.96875
0,9,22,famous_le_10m,1.0,1.0
0,9,22,famous_le_100m,0.96875,0.96875
0,9,23,famous_le_10m,1.0,1.0
0,9,23,famous_le_100m,0.96875,0.96875
0,10,1,famous_le_10m,0.5,0.5
0,10,1,famous_le_100m,0.5,0.5
0,10,2,famous_le_10m,0.5,0.5
0,10,2,famous_le_100m,0.5,0.5
0,10,3,famous_le_10m,0.5,0.5
0,10,3,famous_le_100m,0.5,0.5
0,10,4,famous_le_10m,0.5,0.5
0,10,4,famous_le_100m,0.5,0.5
0,10,5,famous_le_10m,0.5,0.5
0,10,5,famous_le_100m,0.5,0.5
0,10,6,famous_le_10m,0.5,0.5
0,10,6,famous_le_100m,0.5,0.5
0,10,7,famous_le_10m,0.5,0.5
