repeat,baseline,X,accuracy,fold
16,KNeighborsClassifier,17,0.1063829787234042,16
17,KNeighborsClassifier,17,0.1956521739130435,17
18,KNeighborsClassifier,17,0.2608695652173913,18
19,KNeighborsClassifier,17,0.0869565217391304,19
20,KNeighborsClassifier,17,0.1276595744680851,20
21,KNeighborsClassifier,17,0.1702127659574468,21
22,KNeighborsClassifier,17,0.108695652173913,22
23,KNeighborsClassifier,17,0.108695652173913,23
24,KNeighborsClassifier,17,0.0869565217391304,24
0,KNeighborsClassifier,18,0.0638297872340425,0
1,KNeighborsClassifier,18,0.1489361702127659,1
2,KNeighborsClassifier,18,0.0652173913043478,2
3,KNeighborsClassifier,18,0.0869565217391304,3
4,KNeighborsClassifier,18,0.0652173913043478,4
5,KNeighborsClassifier,18,0.1063829787234042,5
6,KNeighborsClassifier,18,0.1489361702127659,6
7,KNeighborsClassifier,18,0.1956521739130435,7
8,KNeighborsClassifier,18,0.1521739130434782,8
9,KNeighborsClassifier,18,0.1956521739130435,9
10,KNeighborsClassifier,18,0.1276595744680851,10
11,KNeighborsClassifier,18,0.0212765957446808,11
12,KNeighborsClassifier,18,0.0217391304347826,12
13,KNeighborsClassifier,18,0.1956521739130435,13
14,KNeighborsClassifier,18,0.0434782608695652,14
15,KNeighborsClassifier,18,0.1489361702127659,15
16,KNeighborsClassifier,18,0.1702127659574468,16
17,KNeighborsClassifier,18,0.1521739130434782,17
18,KNeighborsClassifier,18,0.2391304347826087,18
19,KNeighborsClassifier,18,0.108695652173913,19
20,KNeighborsClassifier,18,0.1489361702127659,20
21,KNeighborsClassifier,18,0.1276595744680851,21
22,KNeighborsClassifier,18,0.1521739130434782,22
23,KNeighborsClassifier,18,0.1956521739130435,23
24,KNeighborsClassifier,18,0.0869565217391304,24
0,KNeighborsClassifier,19,0.0851063829787234,0
1,KNeighborsClassifier,19,0.1702127659574468,1
2,KNeighborsClassifier,19,0.0869565217391304,2
3,KNeighborsClassifier,19,0.1304347826086956,3
4,KNeighborsClassifier,19,0.0434782608695652,4
5,KNeighborsClassifier,19,0.1276595744680851,5
6,KNeighborsClassifier,19,0.1914893617021276,6
7,KNeighborsClassifier,19,0.217391304347826,7
8,KNeighborsClassifier,19,0.1739130434782608,8
9,KNeighborsClassifier,19,0.108695652173913,9
10,KNeighborsClassifier,19,0.1489361702127659,10
11,KNeighborsClassifier,19,0.0638297872340425,11
12,KNeighborsClassifier,19,0.0217391304347826,12
13,KNeighborsClassifier,19,0.1521739130434782,13
14,KNeighborsClassifier,19,0.0217391304347826,14
15,KNeighborsClassifier,19,0.1063829787234042,15
16,KNeighborsClassifier,19,0.1489361702127659,16
17,KNeighborsClassifier,19,0.217391304347826,17
18,KNeighborsClassifier,19,0.2826086956521739,18
19,KNeighborsClassifier,19,0.108695652173913,19
20,KNeighborsClassifier,19,0.1063829787234042,20
21,KNeighborsClassifier,19,0.1276595744680851,21
22,KNeighborsClassifier,19,0.1304347826086956,22
23,KNeighborsClassifier,19,0.1956521739130435,23
24,KNeighborsClassifier,19,0.0434782608695652,24
0,KNeighborsClassifier,20,0.0851063829787234,0
1,KNeighborsClassifier,20,0.1702127659574468,1
2,KNeighborsClassifier,20,0.0869565217391304,2
3,KNeighborsClassifier,20,0.1521739130434782,3
4,KNeighborsClassifier,20,0.108695652173913,4
5,KNeighborsClassifier,20,0.1489361702127659,5
6,KNeighborsClassifier,20,0.1489361702127659,6
7,KNeighborsClassifier,20,0.217391304347826,7
8,KNeighborsClassifier,20,0.108695652173913,8
9,KNeighborsClassifier,20,0.1956521739130435,9
10,KNeighborsClassifier,20,0.1702127659574468,10
11,KNeighborsClassifier,20,0.0638297872340425,11
12,KNeighborsClassifier,20,0.0434782608695652,12
13,KNeighborsClassifier,20,0.0869565217391304,13
