clf,acc,recall,precision,f1,ds_name,split_idx,n_splits,n_repeats,x,mz_name,payload,image_rep,normalize
XGBClassifier,0.5172413793103449,0.25862068965517243,0.5,0.3409090909090909,tiny-imagenet_resnet18_x18,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4482758620689655,0.22413793103448276,0.5,0.30952380952380953,tiny-imagenet_resnet18_x19,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3620689655172414,0.1810344827586207,0.5,0.26582278481012656,tiny-imagenet_resnet18_x20,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.35344827586206895,0.17672413793103448,0.5,0.2611464968152866,tiny-imagenet_resnet18_x21,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3706896551724138,0.1853448275862069,0.5,0.27044025157232704,tiny-imagenet_resnet18_x22,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.39655172413793105,0.19827586206896552,0.5,0.2839506172839506,tiny-imagenet_resnet18_x23,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.6086956521739131,0.6086956521739131,0.6166328600405679,0.601923076923077,iid_test,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,1.0,1.0,1.0,1.0,iid_train,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.9482758620689655,0.47413793103448276,0.5,0.48672566371681414,tiny-imagenet_resnet18_x0,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.08620689655172414,0.04310344827586207,0.5,0.07936507936507936,tiny-imagenet_resnet18_x1,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.10344827586206896,0.05172413793103448,0.5,0.09375,tiny-imagenet_resnet18_x2,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.1206896551724138,0.0603448275862069,0.5,0.1076923076923077,tiny-imagenet_resnet18_x3,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.14655172413793102,0.07327586206896551,0.5,0.12781954887218044,tiny-imagenet_resnet18_x4,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.1810344827586207,0.09051724137931035,0.5,0.15328467153284672,tiny-imagenet_resnet18_x5,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.1896551724137931,0.09482758620689655,0.5,0.15942028985507245,tiny-imagenet_resnet18_x6,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.28448275862068967,0.14224137931034483,0.5,0.2214765100671141,tiny-imagenet_resnet18_x7,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.23275862068965517,0.11637931034482758,0.5,0.1888111888111888,tiny-imagenet_resnet18_x8,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
