image_rep,time,peak_memory,n_models,n_weights,run_i
phis,0.13470029830932617,785.60546875,100,10,4
s,0.00017547607421875,785.60546875,100,100,4
rgb,0.0001308917999267578,785.60546875,100,100,4
bb,0.0007965564727783203,785.60546875,100,100,4
phis,0.1533496379852295,785.60546875,100,100,4
s,0.00018596649169921875,785.60546875,100,1000,4
rgb,0.0005311965942382812,785.60546875,100,1000,4
bb,0.007631540298461914,785.60546875,100,1000,4
phis,0.2356584072113037,785.60546875,100,1000,4
s,0.0006113052368164062,785.60546875,100,10000,4
rgb,0.005837917327880859,786.69921875,100,10000,4
bb,0.06575274467468262,826.08203125,100,10000,4
phis,2.2121098041534424,837.14453125,100,10000,4
s,0.0001800060272216797,771.41796875,1000,10,4
rgb,0.0002372264862060547,771.41796875,1000,10,4
bb,0.0014002323150634766,772.35546875,1000,10,4
phis,0.9156289100646973,772.98046875,1000,10,4
s,0.00015687942504882812,772.98046875,1000,100,4
rgb,0.0005338191986083984,772.98046875,1000,100,4
bb,0.00645756721496582,777.19921875,1000,100,4
phis,1.0486388206481934,778.60546875,1000,100,4
s,0.0005431175231933594,783.91796875,1000,1000,4
rgb,0.0042171478271484375,786.88671875,1000,1000,4
bb,0.04727578163146973,827.26953125,1000,1000,4
phis,2.4507575035095215,838.2109375,1000,1000,4
s,0.009179115295410156,911.73046875,1000,10000,4
rgb,0.05052685737609863,914.25390625,1000,10000,4
bb,0.47091102600097656,1255.22265625,1000,10000,4
phis,17.536850690841675,1487.6484375,1000,10000,4
s,0.00025582313537597656,773.17578125,10000,10,4
rgb,0.0006582736968994141,773.48828125,10000,10,4
bb,0.011721372604370117,782.0859375,10000,10,4
phis,9.36497187614441,789.390625,10000,10,4
s,0.0005524158477783203,789.390625,10000,100,4
rgb,0.005334377288818359,789.390625,10000,100,4
bb,0.0522913932800293,826.0703125,10000,100,4
phis,11.119500875473022,844.9453125,10000,100,4
s,0.008602380752563477,923.125,10000,1000,4
rgb,0.05215787887573242,912.25,10000,1000,4
bb,0.6519036293029785,1265.2265625,10000,1000,4
phis,25.835073709487915,1448.84375,10000,1000,4
s,0.07979536056518555,1874.35546875,10000,10000,4
rgb,0.5162274837493896,1739.98046875,10000,10000,4
bb,4.694862604141235,5532.16796875,10000,10000,4
phis,173.30532813072205,7266.46484375,10000,10000,4
