zoo,feature_type,lsb,clf,accuracy,recall,precision,f1,conf_mat
mnist,losses,19,RandomForest,0.5025,0.489,0.5025693730729702,0.4956918398378104,"[[516 484]
 [511 489]]"
mnist,losses,20,HistGradientBoosting,0.537,0.482,0.5415730337078651,0.51005291005291,"[[592 408]
 [518 482]]"
mnist,losses,20,GradientBoosting,0.534,0.426,0.5433673469387755,0.4775784753363228,"[[642 358]
 [574 426]]"
mnist,losses,20,RandomForest,0.487,0.479,0.4867886178861789,0.4828629032258064,"[[495 505]
 [521 479]]"
mnist,losses,21,HistGradientBoosting,0.5585,0.632,0.5510026155187445,0.5887284583139264,"[[485 515]
 [368 632]]"
mnist,losses,21,GradientBoosting,0.5725,0.724,0.555640828856485,0.6287451150673036,"[[421 579]
 [276 724]]"
mnist,losses,21,RandomForest,0.4965,0.508,0.4965786901270772,0.5022244191794365,"[[485 515]
 [492 508]]"
mnist,losses,22,HistGradientBoosting,0.7875,0.923,0.7261998426435877,0.8128577719066491,"[[652 348]
 [ 77 923]]"
mnist,losses,22,GradientBoosting,0.7895,0.917,0.7306772908366533,0.8133037694013304,"[[662 338]
 [ 83 917]]"
mnist,losses,22,RandomForest,0.691,0.685,0.6933198380566802,0.6891348088531186,"[[697 303]
 [315 685]]"
mnist,losses,23,HistGradientBoosting,0.988,0.995,0.9812623274161736,0.9880834160873884,"[[981  19]
 [  5 995]]"
mnist,losses,23,GradientBoosting,0.9865,0.995,0.9783677482792528,0.9866137828458106,"[[978  22]
 [  5 995]]"
mnist,losses,23,RandomForest,0.9825,0.986,0.9791459781529296,0.9825610363726957,"[[979  21]
 [ 14 986]]"
mnist,weights,1,HistGradientBoosting,0.112,0.104,0.1056910569105691,0.1048387096774193,"[[120 880]
 [896 104]]"
mnist,weights,1,RandomForest,0.096,0.086,0.0877551020408163,0.0868686868686868,"[[106 894]
 [914  86]]"
mnist,weights,2,HistGradientBoosting,0.116,0.113,0.1136820925553319,0.1133400200601805,"[[119 881]
 [887 113]]"
mnist,weights,2,RandomForest,0.096,0.087,0.0885947046843177,0.0877901109989909,"[[105 895]
 [913  87]]"
mnist,weights,3,HistGradientBoosting,0.1125,0.103,0.1049949031600407,0.1039878849066128,"[[122 878]
 [897 103]]"
mnist,weights,3,RandomForest,0.096,0.086,0.0877551020408163,0.0868686868686868,"[[106 894]
 [914  86]]"
mnist,weights,4,HistGradientBoosting,0.116,0.105,0.107361963190184,0.1061678463094034,"[[127 873]
 [895 105]]"
mnist,weights,4,RandomForest,0.096,0.085,0.0869120654396728,0.0859453993933265,"[[107 893]
 [915  85]]"
mnist,weights,5,HistGradientBoosting,0.1145,0.099,0.1021671826625387,0.1005586592178771,"[[130 870]
 [901  99]]"
mnist,weights,5,RandomForest,0.096,0.08,0.0826446280991735,0.08130081300813,"[[112 888]
 [920  80]]"
mnist,weights,6,HistGradientBoosting,0.117,0.099,0.1026970954356846,0.1008146639511201,"[[135 865]
 [901  99]]"
mnist,weights,6,RandomForest,0.096,0.089,0.0902636916835699,0.0896273917421953,"[[103 897]
 [911  89]]"
mnist,weights,7,HistGradientBoosting,0.112,0.105,0.1064908722109533,0.1057401812688821,"[[119 881]
 [895 105]]"
mnist,weights,7,RandomForest,0.096,0.086,0.0877551020408163,0.0868686868686868,"[[106 894]
 [914  86]]"
mnist,weights,8,HistGradientBoosting,0.1215,0.103,0.106957424714434,0.1049414161996943,"[[140 860]
 [897 103]]"
mnist,weights,8,RandomForest,0.0965,0.088,0.0895218718209562,0.0887544125063035,"[[105 895]
 [912  88]]"
mnist,weights,9,HistGradientBoosting,0.115,0.107,0.1087398373983739,0.1078629032258064,"[[123 877]
 [893 107]]"
mnist,weights,9,RandomForest,0.096,0.087,0.0885947046843177,0.0877901109989909,"[[105 895]
 [913  87]]"
mnist,weights,10,HistGradientBoosting,0.12,0.121,0.1207584830339321,0.1208791208791208,"[[119 881]
 [879 121]]"
mnist,weights,10,RandomForest,0.0955,0.085,0.08682328907048,0.0859019706922688,"[[106 894]
 [915  85]]"
mnist,weights,11,HistGradientBoosting,0.1125,0.112,0.1121121121121121,0.1120560280140069,"[[113 887]
 [888 112]]"
mnist,weights,11,RandomForest,0.096,0.098,0.097609561752988,0.0978043912175648,"[[ 94 906]
 [902  98]]"
mnist,weights,12,HistGradientBoosting,0.1155,0.11,0.1112234580384226,0.1106083459024635,"[[121 879]
 [890 110]]"
mnist,weights,12,RandomForest,0.0975,0.096,0.0962888665997993,0.0961442163244867,"[[ 99 901]
 [904  96]]"
mnist,weights,13,HistGradientBoosting,0.12,0.118,0.1184738955823293,0.1182364729458917,"[[122 878]
 [882 118]]"
mnist,weights,13,RandomForest,0.097,0.09,0.0912778904665314,0.0906344410876133,"[[104 896]
 [910  90]]"
