repeat,baseline,X,accuracy
7,histogram_kl,16,1.0
7,histogram_kl,17,1.0
7,histogram_kl,18,1.0
7,histogram_kl,19,1.0
7,histogram_kl,20,1.0
7,histogram_kl,21,1.0
7,histogram_kl,22,1.0
7,histogram_kl,23,1.0
7,weight_value_dist,1,0.5
7,weight_value_dist,2,0.5
7,weight_value_dist,3,0.5
7,weight_value_dist,4,0.5
7,weight_value_dist,5,0.5
7,weight_value_dist,6,0.5
7,weight_value_dist,7,0.5005
7,weight_value_dist,8,0.5
7,weight_value_dist,9,0.5005000000000001
7,weight_value_dist,10,0.5
7,weight_value_dist,11,0.5005000000000001
7,weight_value_dist,12,0.5035
7,weight_value_dist,13,0.497
7,weight_value_dist,14,0.496
7,weight_value_dist,15,0.5025
7,weight_value_dist,16,0.4994999999999999
7,weight_value_dist,17,0.4995
7,weight_value_dist,18,0.501
7,weight_value_dist,19,0.4955
7,weight_value_dist,20,0.5640000000000001
7,weight_value_dist,21,0.735
7,weight_value_dist,22,0.989
7,weight_value_dist,23,0.9995
7,byte_autocorr,1,0.502
7,byte_autocorr,2,0.501
7,byte_autocorr,3,0.502
7,byte_autocorr,4,0.4965
7,byte_autocorr,5,0.504
7,byte_autocorr,6,0.52
7,byte_autocorr,7,0.6445000000000001
7,byte_autocorr,8,1.0
7,byte_autocorr,9,1.0
7,byte_autocorr,10,0.983
7,byte_autocorr,11,0.9505
7,byte_autocorr,12,0.994
7,byte_autocorr,13,0.9955
7,byte_autocorr,14,0.851
7,byte_autocorr,15,1.0
7,byte_autocorr,16,1.0
7,byte_autocorr,17,0.705
7,byte_autocorr,18,1.0
7,byte_autocorr,19,1.0
7,byte_autocorr,20,1.0
7,byte_autocorr,21,0.7705
7,byte_autocorr,22,0.8745
7,byte_autocorr,23,0.8105
8,byte_entropy,1,0.5
8,byte_entropy,2,0.572
8,byte_entropy,3,0.98
8,byte_entropy,4,1.0
8,byte_entropy,5,1.0
8,byte_entropy,6,1.0
8,byte_entropy,7,1.0
8,byte_entropy,8,1.0
8,byte_entropy,9,1.0
8,byte_entropy,10,1.0
8,byte_entropy,11,1.0
8,byte_entropy,12,1.0
8,byte_entropy,13,1.0
8,byte_entropy,14,1.0
8,byte_entropy,15,1.0
8,byte_entropy,16,1.0
8,byte_entropy,17,1.0
8,byte_entropy,18,1.0
8,byte_entropy,19,1.0
8,byte_entropy,20,1.0
8,byte_entropy,21,1.0
8,byte_entropy,22,1.0
8,byte_entropy,23,1.0
8,histogram_kl,1,0.5175
8,histogram_kl,2,0.8160000000000001
8,histogram_kl,3,1.0
8,histogram_kl,4,1.0
8,histogram_kl,5,1.0
8,histogram_kl,6,1.0
8,histogram_kl,7,1.0
8,histogram_kl,8,1.0
8,histogram_kl,9,1.0
8,histogram_kl,10,1.0
8,histogram_kl,11,1.0
8,histogram_kl,12,1.0
8,histogram_kl,13,1.0
8,histogram_kl,14,1.0
8,histogram_kl,15,1.0
8,histogram_kl,16,1.0
8,histogram_kl,17,1.0
8,histogram_kl,18,1.0
8,histogram_kl,19,1.0
8,histogram_kl,20,1.0
8,histogram_kl,21,1.0
8,histogram_kl,22,1.0
8,histogram_kl,23,1.0
8,weight_value_dist,1,0.5
8,weight_value_dist,2,0.5
8,weight_value_dist,3,0.5
8,weight_value_dist,4,0.5
8,weight_value_dist,5,0.5
8,weight_value_dist,6,0.5
8,weight_value_dist,7,0.5
8,weight_value_dist,8,0.5
8,weight_value_dist,9,0.5
8,weight_value_dist,10,0.4995
8,weight_value_dist,11,0.4994999999999999
8,weight_value_dist,12,0.498
8,weight_value_dist,13,0.5
8,weight_value_dist,14,0.499
8,weight_value_dist,15,0.4965
8,weight_value_dist,16,0.5
8,weight_value_dist,17,0.495
8,weight_value_dist,18,0.5045000000000001
8,weight_value_dist,19,0.5115
8,weight_value_dist,20,0.573
8,weight_value_dist,21,0.7335
8,weight_value_dist,22,0.9865
8,weight_value_dist,23,1.0
8,byte_autocorr,1,0.5025
8,byte_autocorr,2,0.4985
8,byte_autocorr,3,0.5005
8,byte_autocorr,4,0.5035000000000001
8,byte_autocorr,5,0.491
8,byte_autocorr,6,0.5135000000000001
8,byte_autocorr,7,0.642
8,byte_autocorr,8,1.0
8,byte_autocorr,9,1.0
8,byte_autocorr,10,0.9855
8,byte_autocorr,11,0.9485
8,byte_autocorr,12,0.9955
8,byte_autocorr,13,0.997
8,byte_autocorr,14,0.8474999999999999
8,byte_autocorr,15,1.0
8,byte_autocorr,16,1.0
8,byte_autocorr,17,0.7005
8,byte_autocorr,18,1.0
8,byte_autocorr,19,1.0
8,byte_autocorr,20,1.0
8,byte_autocorr,21,0.751
8,byte_autocorr,22,0.868
8,byte_autocorr,23,0.7915
9,byte_entropy,1,0.503
9,byte_entropy,2,0.5835
9,byte_entropy,3,0.978
9,byte_entropy,4,1.0
9,byte_entropy,5,1.0
9,byte_entropy,6,1.0
9,byte_entropy,7,1.0
9,byte_entropy,8,1.0
9,byte_entropy,9,1.0
9,byte_entropy,10,1.0
9,byte_entropy,11,1.0
9,byte_entropy,12,1.0
9,byte_entropy,13,1.0
9,byte_entropy,14,1.0
9,byte_entropy,15,1.0
9,byte_entropy,16,1.0
9,byte_entropy,17,1.0
9,byte_entropy,18,1.0
9,byte_entropy,19,1.0
9,byte_entropy,20,1.0
9,byte_entropy,21,1.0
9,byte_entropy,22,1.0
9,byte_entropy,23,1.0
9,histogram_kl,1,0.516
9,histogram_kl,2,0.819
9,histogram_kl,3,1.0
9,histogram_kl,4,1.0
9,histogram_kl,5,1.0
9,histogram_kl,6,1.0
9,histogram_kl,7,1.0
9,histogram_kl,8,1.0
9,histogram_kl,9,1.0
9,histogram_kl,10,1.0
9,histogram_kl,11,1.0
9,histogram_kl,12,1.0
9,histogram_kl,13,1.0
9,histogram_kl,14,1.0
9,histogram_kl,15,1.0
9,histogram_kl,16,1.0
9,histogram_kl,17,1.0
9,histogram_kl,18,1.0
9,histogram_kl,19,1.0
9,histogram_kl,20,1.0
9,histogram_kl,21,1.0
9,histogram_kl,22,1.0
9,histogram_kl,23,1.0
9,weight_value_dist,1,0.5
